Date,Open,High,Low,Close,Volume
2024-08-20,1.10851,1.1136,1.107,1.11271,144197
2024-08-21,1.11274,1.1175,1.1098,1.11548,157215
2024-08-22,1.11548,1.1167,1.10933,1.11157,149938
2024-08-23,1.11157,1.1202,1.1104,1.11913,153333
2024-08-25,1.11838,1.11947,1.11838,1.1187,3803
2024-08-26,1.1189,1.1202,1.1144,1.11645,155866
2024-08-27,1.11643,1.1191,1.11498,1.1176,149329
2024-08-28,1.11767,1.1181,1.1103,1.11244,161779
2024-08-29,1.11242,1.114,1.1055,1.108,164228
2024-08-30,1.108,1.1096,1.10309,1.10455,157963
2024-09-01,1.10498,1.10498,1.1043,1.10444,2322
2024-09-02,1.10442,1.1117,1.104,1.10669,107953
2024-09-03,1.10671,1.10702,1.1025,1.10483,171709
2024-09-04,1.1048,1.10951,1.1039,1.10794,162058
2024-09-05,1.10793,1.1128,1.1073,1.11108,162486
2024-09-06,1.11108,1.11555,1.10646,1.10803,166957
2024-09-08,1.10844,1.1093,1.10798,1.1087,3461
2024-09-09,1.10861,1.1092,1.10247,1.10351,147624
2024-09-10,1.1035,1.10494,1.1014,1.10197,142307
2024-09-11,1.10201,1.1055,1.09794,1.10102,172714
2024-09-12,1.10101,1.108,1.1004,1.1077,162552
2024-09-13,1.10789,1.1102,1.1071,1.1073,154586
2024-09-15,1.10714,1.1091,1.10714,1.1087,2837
2024-09-16,1.10872,1.11375,1.1085,1.11291,142775
2024-09-17,1.11289,1.11462,1.11004,1.1123,156452
2024-09-18,1.11221,1.11887,1.1095,1.11138,174758
2024-09-19,1.11139,1.1179,1.1068,1.11593,195468
2024-09-20,1.11591,1.1183,1.1135,1.1163,175669
2024-09-22,1.11573,1.1166,1.11573,1.11588,2310
2024-09-23,1.11586,1.1168,1.1082,1.1109,166681
2024-09-24,1.11109,1.1194,1.1102,1.1191,166239
2024-09-25,1.11903,1.1214,1.112,1.11296,148887
2024-09-26,1.11297,1.11893,1.1125,1.11768,136010
2024-09-27,1.11769,1.12031,1.1124,1.1164,182226
2024-09-29,1.11527,1.11721,1.11527,1.1168,2926
2024-09-30,1.11685,1.12091,1.11131,1.11365,175197
2024-10-01,1.11366,1.1144,1.1045,1.10643,188468
2024-10-02,1.10644,1.1083,1.1031,1.1045,166288
2024-10-03,1.10457,1.1047,1.10071,1.1034,172618
